region_acronym,n_neurons,n_sessions,n_probes,n_spikes_spontaneous_median,firing_rate_hz_median,local_variance_lv_median,n_timescales_median,tau_1_ms_median,tau_2_ms_median,tau_3_ms_median,tau_4_ms_median,c_1_median,c_2_median,c_3_median,c_4_median,tau_effective_ms_median,r_squared_median,ci_lower_ms_median,ci_upper_ms_median,bic_1_median,bic_2_median,bic_3_median,bic_4_median,coverage_label
ENTm,1324,18,19,2959.0,5.201854742765216,1.2935070783993976,2.0,20.473539432050035,220.0777182648119,1435.2772432120819,,0.15788806209596715,0.039411570604421,0.0103304420627056,,68.84787132718218,0.7497144736720993,53.75827815224359,81.49184642173745,-6236.386924307017,-6387.67334287299,-6416.601106828865,-6386.597307063165,very_high
VISp,1209,48,51,2963.0,5.326173746140058,1.1101308208286582,2.0,40.76517391599159,666.0650505976259,3073.138076006817,5785.981215329348,0.0840166297359717,0.0265844597951112,0.01303936516447545,0.0135243068494865,280.16550815990223,0.7812092790662175,226.9799311801452,322.4000369334234,-6215.578603669168,-6426.818514800272,-6455.582547195591,-6427.531189292407,very_high
PIR,1176,30,30,1687.5,2.922228338638453,1.211257342045836,2.0,31.315646335769372,656.1661755346636,2575.1237557803342,,0.16540990715204634,0.0144711511980628,0.0072090405128736,,74.5197564430018,0.7477657533314571,61.463999372105874,87.9232743755261,-6317.534764082519,-6445.3840665238995,-6452.967141727278,-6369.607169477253,very_high
VPM,1163,34,36,3423.0,6.578926642291335,1.044694367518348,2.0,30.48497676098319,565.0714335239933,3444.265419385365,3566.5910105638864,0.1278806688367836,0.0307374510168375,0.0166456739326896,0.047368647634005896,304.950616792888,0.8335438200645287,238.88584529962355,360.3283509790796,-6034.778099735572,-6335.109580846206,-6404.169898547489,-6365.694279678712,very_high
SSp-bfd,1149,30,30,2906.0,5.259341476614076,1.2535372757388128,2.0,17.884077900055722,341.7116429854765,2576.5736210391533,4433.617943049145,0.1888251917295093,0.0268707518983164,0.013036994379379399,0.0043891307865534,96.26168423500935,0.79735407147372,73.14515816096839,118.83040179774102,-6211.706137609644,-6440.698524380818,-6476.449999204343,-6459.251913295176,very_high
SPVI,1036,15,15,933.0,1.559823013262837,1.2708192407990533,2.0,137.23202053086843,1576.6373197032592,2712.5141141385225,,0.0617378095780187,0.0309722517335814,0.02299498613067055,,480.4794184337078,0.7760741880208205,400.96223454801475,562.5766076735738,-6145.601811373616,-6271.89641459158,-6259.507356380812,-6252.691562224185,very_high
SSp-m,1014,13,13,2586.0,4.309432798393953,1.2625768999500235,2.0,20.081706747301624,738.6445423829849,2139.924526527928,3095.402368008793,0.1632595588650244,0.0217053737527925,0.0140366601523654,0.0170751691639609,107.55157896476028,0.7752435526441113,84.39099377402441,129.12982272329484,-6229.908531789366,-6454.938677117585,-6439.995193223956,-6426.34357990932,very_high
VISa,1006,39,46,2477.5,4.757882059030768,1.0960935893187638,2.0,53.45735929178305,1140.1568224332336,2963.947856526006,5615.006048121881,0.0862099566763039,0.0241927657157663,0.0133436852046265,0.0105812025325242,335.55469450579886,0.7915189382246252,287.53601870936814,391.03629535056234,-6121.128445038081,-6345.495406374064,-6406.163348067763,-6397.201753864707,very_high
IRN,958,32,33,786.5,1.310671851418711,1.077792533540241,2.0,129.99696507178015,1568.094142345582,3065.254549503009,3542.2153268119446,0.10305193855899085,0.048045008522153,0.0430509052762118,0.07129859663781729,733.7696821496808,0.8615254398170082,637.1413735883116,842.8287838406491,-5643.747660020707,-5840.305076874489,-5927.237181314737,-5940.3915016868905,very_high
GRN,922,17,17,1159.5,1.9323088728359152,0.9738777347914881,2.0,162.56632590125577,2375.682335426357,3153.5451001841043,5587.1168192960295,0.09349956062986466,0.06242781375416975,0.0555248182509368,0.0500623246391849,1177.7323906521028,0.8980325432343161,1071.8931200022448,1278.32103620713,-5593.112596939451,-5862.446717765599,-5876.467770242445,-5865.297970389889,very_high
SUB,917,35,38,3545.0,6.404202753058818,1.1223977380873422,2.0,47.27707518161616,491.4104142498308,2836.5240701203825,3951.053608207424,0.1027553889881076,0.0250857830173696,0.01007171372924375,0.0031263420725837,186.1582362231557,0.7569786404412153,149.5127824181449,221.97965212180424,-6267.728252821079,-6453.5783704350615,-6499.403662147732,-6482.359083004333,very_high
ENTl,908,17,18,2340.5,3.9003495196033917,1.175472720666991,2.0,69.56253558758489,446.5558226943734,3136.130749293181,,0.0972930612158279,0.02028087989246125,0.0074668646289074,,123.6275815306621,0.7303920251813807,108.78382792647953,138.57261032206074,-6323.416440443187,-6423.711329775996,-6452.237558775398,-6426.673928950351,very_high
SSs,782,15,15,2564.5,4.273682074863224,1.1383836264886456,2.0,29.86235809107155,1135.9680898845638,2553.7079279581453,3168.396145370587,0.10465268425249595,0.0238731351794795,0.01802321746411865,0.0112892580168911,254.05576518525083,0.8011804894443311,207.92353416388914,297.29289893486714,-6219.5655406885235,-6435.262471246872,-6452.638301614241,-6439.582961636907,very_high
PRNr,776,23,23,1773.0,2.954698075442666,0.9771968106064284,2.0,239.3094228232425,2323.9893394289675,3514.2752006418177,3333.1252463110127,0.0730195062556048,0.0372342896414112,0.023031024234326847,0.0096110136426566,956.5514401382884,0.848319159991821,868.8082831493348,1036.6403411933334,-5870.66872021794,-6134.1081554972825,-6186.5645513794025,-6134.608213805776,very_high
void,704,91,96,2367.5,4.152085983948495,1.0420738377286791,2.0,93.53271575232931,1353.8867772871308,2968.1935857692933,,0.10490885064896291,0.0580576107488984,0.0289406397940496,,686.5491015552577,0.8501715106660758,607.5222996504299,748.2785229655346,-5780.8820309525945,-6123.690025636112,-6311.276582380271,-6291.977848550006,very_high
