region_acronym,n_neurons,n_sessions,n_probes,n_spikes_spontaneous_median,firing_rate_hz_median,local_variance_lv_median,n_timescales_median,tau_1_ms_median,tau_2_ms_median,tau_3_ms_median,tau_4_ms_median,c_1_median,c_2_median,c_3_median,c_4_median,tau_effective_ms_median,r_squared_median,ci_lower_ms_median,ci_upper_ms_median,bic_1_median,bic_2_median,bic_3_median,bic_4_median,coverage_label
AUDp,298,5,5,2850.0,4.749361861273317,1.1675436461147042,2.0,51.073614043462996,593.6116888685875,3735.4754282484314,,0.0917097600380092,0.0168511211102823,0.010186396826751199,,201.08841887074587,0.7741351086400297,164.3869845563422,238.6550173188852,-6325.803157112392,-6477.606955741217,-6500.637537425533,-6492.967758877885,high
PRNc,289,11,11,1771.0,2.9513687071416106,0.9911774304444658,2.0,321.213982775209,1949.847064745414,3567.960644410966,,0.0679325468614732,0.0363873915123961,0.0161383045035841,,906.6304246465228,0.8339494508933538,837.0821804497497,972.5490621811908,-6000.713374804386,-6219.085021178467,-6239.835024093676,-6162.608274906307,high
SSp-n,288,9,9,1802.5,3.0038343782648624,1.3899907952139297,2.0,18.968714414675,398.889214205758,2442.3980260007543,5188.921872699666,0.2303610216973667,0.025958157626735548,0.0137177848002442,0.0029759038357264,67.95743574253238,0.8200374643706771,53.385279513820365,81.50852466087025,-6241.873924999656,-6402.650858709544,-6393.520184744364,-6327.798032056686,high
UVU,287,10,11,868.0,1.4465270899865614,1.219648860470076,1.0,153.13959415917952,1146.144954310092,2559.915509216281,5137.961493377151,0.0746336113339609,0.052065185988790647,0.02323285247132865,0.0250532174023775,321.111108037558,0.8231512559953378,240.09030243027024,392.93287581668255,-6250.988258224471,-6331.202601189291,-6339.287879838125,-6150.741215919162,high
Eth,283,18,18,3260.0,6.242729926442592,0.9937361034847578,2.0,54.594080989509,849.775223556384,3340.97202778982,,0.0790637716914007,0.0211496225515511,0.0103394862531261,,292.5974384857498,0.7622652648245773,244.65206562446963,349.4528520808587,-6181.911850594045,-6448.166442634321,-6430.437654542657,-6493.463880093773,high
MDRN,283,7,8,1167.0,1.9447553083867235,1.104013835175422,2.0,169.76318022647368,1550.011465584983,2780.4001358011215,,0.0969288168019118,0.0349468750069464,0.0205861002508507,,481.7709336397016,0.863368972995175,436.2139647016229,536.0637630747609,-5888.922150917878,-6158.074921104972,-6185.125319393965,-6125.450799097475,high
CENT2,276,15,17,5870.0,9.78205740894473,0.7388869201005187,2.0,236.8813902381721,3138.020306812249,4084.9181113187215,,0.06951959457119644,0.0303692377185765,0.0401997770042158,,1559.5393144788893,0.8535966938172722,1393.096282760399,1745.1781006871747,-6070.227663662867,-6384.306459476565,-6472.696074026297,-6526.403013827592,high
IP,268,27,29,5442.0,9.448839084986048,0.7560580825998944,2.0,149.462273006641,1913.1116938186674,3315.8030313121612,2727.5352086289195,0.0967463041871417,0.03388849367602965,0.02494389708775155,0.1878892301533555,921.3041773994012,0.8881282056189689,826.1966718362075,1034.1607696745814,-5991.431988940806,-6269.80539283118,-6319.877500350686,-6316.074987552009,high
SPVO,267,7,7,1223.0,2.0381329560433072,1.224862512108147,2.0,83.67177282843032,1912.041893025234,4330.612675207224,,0.0760464278010795,0.0362336250772209,0.0450537005829584,,972.4769256852215,0.8211641136434392,830.3730397884013,1088.8690275460683,-5843.982880402481,-6163.364940027008,-6196.1119555707755,-6093.763651925383,high
BLA,266,15,15,2232.5,4.031220894815324,1.1400177327809808,2.0,34.282589707309334,627.729508091347,2657.151352694147,3745.400649248288,0.13106747233545346,0.0175889589347715,0.0105486717052714,0.052775888364036,121.78743330675272,0.7214315603381356,95.51471114693507,140.02765371682014,-6257.479980907756,-6424.98999022677,-6462.498331084367,-6433.875290179269,high
AId,252,11,11,2261.0,3.7678478737894574,1.033714255508232,2.0,58.71817595995546,1259.8345683822981,2546.747157368207,,0.07105418965328925,0.0182302773730804,0.0120283573538934,,324.14992084520236,0.73689069915608,263.1016416420902,371.86808642908863,-6313.504322435001,-6443.007370846795,-6494.16849160356,-6508.193635361853,high
POL,252,16,17,3285.5,5.623606522617643,1.089727305421106,2.0,45.50711285754291,1391.4389118848167,2752.12490620445,,0.11367099426593415,0.02225856199171565,0.01334167896565145,,282.3509013254835,0.823086522717465,226.9450591878297,347.77519301815914,-6194.081550728106,-6430.672503344693,-6441.787269805282,-6472.877636546446,high
RSPagl,250,25,27,3336.5,6.319314336948816,1.0823897520453651,2.0,50.916806417099785,1004.1625715537988,3538.6161747987253,,0.07544138146202489,0.0230228326419535,0.016210120749897,,328.7748082171322,0.7338026822987626,271.0552915010096,375.51863204263685,-6141.95259088267,-6403.323675949008,-6478.494283355007,-6460.218020523347,high
AV,245,11,11,5552.0,11.19612669460171,1.0046379019713385,2.0,92.58700568955416,1901.698641388772,3064.7078711138365,4504.200944510201,0.07293240856363,0.0128650443053521,0.01181683133620905,0.0266012360820417,294.92803989656267,0.7470309581547422,240.55418961559943,331.66241428049256,-6374.04299869641,-6541.398211114894,-6567.084635750304,-6606.047458682374,high
RN,242,20,20,2036.0,3.7303023429122715,0.8745117067598032,2.0,298.63416072274777,1841.9654145391269,3242.1965860824566,,0.08287624403790389,0.0489014402896805,0.05864731754082525,,1240.3441630958232,0.8845585874729878,1050.2430501292015,1396.9335477544137,-5779.701505315681,-6086.083022523665,-6030.12479044789,-5942.678136395438,high
ORBm,241,8,9,3711.0,6.196077750631719,1.0673595040392647,2.0,48.61177900085072,858.737000669654,3658.1967104547657,,0.0844613615856736,0.0188082577790702,0.00961665130476195,,237.4910114168933,0.7105601073123379,188.5488439041916,268.38543773336966,-6216.20430228128,-6442.348564608352,-6463.262387875508,-6402.677665053268,high
VII,235,6,6,931.0,1.5515093423921231,1.2574712441016782,2.0,154.17821991774997,2636.448763721065,2956.9239731626503,,0.0607331961660081,0.0298624722074391,0.04385941540940115,,1138.7487209069188,0.805574513790551,925.6190953735714,1296.508520816935,-5908.514550104668,-6131.540312947039,-6148.7542124281135,-6128.850958889748,high
PL,234,16,18,2832.5,5.068583889032238,0.9393871318147302,2.0,196.14650740135363,2644.0150128857085,3247.128451437017,4571.070131635262,0.05610657680321015,0.0178845039042727,0.026467169703714,0.0104968872100325,788.0252116400941,0.76695234340064,691.9361921937846,886.8574977884768,-6150.086955046356,-6373.802118191975,-6394.192019558495,-6353.68026247771,high
PoT,225,17,17,2865.0,5.032678118544197,1.0673717279500925,2.0,44.68737232380417,688.3929418891126,3324.670884994703,,0.0833737960905019,0.023201242002415752,0.0086179478225951,,258.6254578956965,0.7487849877129065,217.4152895754148,303.65014294258464,-6340.312963155899,-6497.046475660269,-6524.576788458116,-6533.049658372383,high
TRN,219,8,8,2365.0,3.941303006241807,0.966495251994979,2.0,203.2123914545782,1703.6161396755508,3641.002920840013,,0.0722171772698631,0.046147317613105,0.02821654917316795,,993.2084003672716,0.8954908438748217,925.3364154594706,1092.890149873156,-5981.343664817539,-6232.598037543672,-6318.852206387575,-6330.392852431194,high
MEA,215,12,12,1594.0,3.4912388368682423,1.122434700191476,2.0,39.58581378050444,1539.6512588924186,3565.6667076865247,,0.1306715207908741,0.0200973131236082,0.0192276605072211,,258.37035864031816,0.7471936069829093,204.0983090925461,299.4009033017062,-6042.823724729682,-6201.493631402199,-6225.074082167601,-6267.275851048214,high
AUDd,211,9,9,3303.0,5.504496385998048,1.1235066290558513,2.0,45.33156148517411,1056.4173417078573,3213.534244840645,,0.0927199749194414,0.017619742794419697,0.014489537090998,,271.3094731690882,0.7720743244003898,227.41354425974845,319.9288742206752,-6250.236947208923,-6484.454588150436,-6508.859186586657,-6458.943101738627,high
BMA,203,15,15,1763.0,3.72953551008809,1.1755593746048056,2.0,33.9396978922163,614.2035326341397,3307.14320786349,,0.1677641593816508,0.0165848539581442,0.0066406465706901,,88.3252128387218,0.7484432446075626,65.6318078099701,105.83831131640984,-6111.481457571619,-6239.940373484313,-6247.813698298147,-6407.928545656172,high
LHA,201,16,16,2724.0,5.947807332236965,1.0244563978158263,2.0,109.91350237041756,1232.8048253930544,2024.7277622046647,,0.1218024397068862,0.0277701661009974,0.022380159543960852,,266.0499450601459,0.8350907705427588,236.434703431966,277.89675255202286,-5976.131303021056,-6191.1905403136325,-6318.583112668011,-6189.126423353389,high
VISl,193,12,13,2474.0,4.211156697545823,1.16212682336504,2.0,31.184530260300864,436.94881874307646,2866.8535172665347,,0.11064021834984,0.02684194254492845,0.0088836345953475,,157.4581550032978,0.7921301842269552,118.84520049070086,188.99069682325631,-6272.805805799015,-6455.716131711324,-6497.347970589424,-6512.156747213883,medium
SPIV,185,16,16,1690.0,2.847988285068576,0.8504409763503781,2.0,195.04437037453712,2207.7843296040005,2792.7875811413664,1448.812755148895,0.0929069959099586,0.0384124264568937,0.0205960831203722,0.0475061846879738,1122.063255528434,0.88212821578997,972.0044107475884,1241.3497732993137,-5697.352685756978,-6027.867288143495,-6169.787178539483,-6313.733116926348,medium
GPe,183,12,12,5575.0,11.773847042574792,0.8492954567689026,2.0,46.11882408396631,738.1870647622733,2703.007744657818,4812.926079759472,0.0985997801526581,0.0284009660688382,0.0205142888833904,0.03976897260926835,331.1440044401037,0.8026543483627463,261.8318044323853,446.4305786868212,-6036.416562586264,-6315.230033857014,-6440.303601386202,-6458.996555297988,medium
EPv,182,12,12,890.0,1.764772474292383,1.2778894355067911,2.0,25.859261697023218,847.0877793029699,2327.7344822600244,,0.18016173484207165,0.0133115380888501,0.0076387063634279,,78.64457692734732,0.7308619259422913,64.28714880362944,92.72733221292839,-6202.548825043386,-6361.603144401486,-6386.712641525341,-6343.28639089792,medium
CEA,178,13,13,810.5,2.0096780148740625,1.233133484534791,2.0,37.900435514961906,830.3508654724374,1557.1969412202095,,0.11831826516433525,0.026689497456200452,0.0234362806515602,,190.3059892170445,0.7314419716557584,146.52875467225448,221.20672842947852,-6004.525043936461,-6139.440674196871,-6207.534953669008,-6073.266497731758,medium
ILA,176,11,12,2574.0,4.289455677109672,1.0202500513607355,2.0,67.27251439369338,1689.4825131142177,4576.570387076245,,0.0721970752296662,0.013878885082540749,0.0083555939791986,,378.4826604729573,0.7073003179734791,315.23900718842344,442.7177548040304,-6250.437795025515,-6458.164598809735,-6523.692954531675,-6526.162723706604,medium
PSV,174,7,8,925.5,1.643190291681006,1.2602474257796412,2.0,77.36728564145446,2519.1129107887955,4244.659131959863,,0.09423576660005835,0.0412400662039063,0.02383569704448775,,772.597341328971,0.764004812586304,650.518436434267,949.5062780440373,-5686.04631636083,-5930.811794696829,-5919.15588060842,-5632.719579867768,medium
ANcr1,174,10,10,3772.0,6.2858803084729455,0.9434304783572887,2.0,227.49825351320533,2666.0285014342626,2794.784697305408,,0.06708676366967485,0.0346998849894254,0.0351186281200137,,1323.6819959614018,0.8604647060420374,1152.4025031836773,1436.814227760594,-5908.684885821996,-6236.951899114545,-6211.492713535484,-6226.3410468286,medium
OT,171,14,14,2865.0,5.095973963864253,1.1378698734080543,2.0,35.941942782651346,1134.486186221157,2855.0949158769276,,0.1931011463998111,0.016427551934449898,0.015177692126404949,,98.80307380109667,0.779026108496668,81.83284775303005,110.25930535680553,-6144.812970483997,-6308.858809700137,-6274.9294183672055,-6157.559478797903,medium
VISpor,163,6,8,2647.0,4.411119495146413,1.109088140420543,2.0,107.0485446508243,546.2735092733212,2065.2163523368754,,0.0881794890515479,0.0238255337640315,0.011448451521231,,162.32100510965336,0.7663194828666015,147.05452230622987,181.1198533302097,-6335.645762443051,-6422.656050993894,-6416.317900500021,-6472.193688112071,medium
NLL,162,7,7,1663.5,2.805496589649479,0.8955325928638137,2.0,199.272281078252,1956.086286104257,2813.335003673383,,0.08718050676604455,0.06832332236726045,0.0355737882276247,,1143.527530640797,0.9003241814671233,1030.5874468122308,1287.0829731552508,-5640.728826329686,-5928.179422547651,-5919.563095030271,-5838.4740384779925,medium
CS,161,9,9,3058.0,5.09621937385839,0.9662578417115276,2.0,180.26102333004508,2375.982380626654,4151.94190914193,,0.0665833760948763,0.03214205532115235,0.0238769377068622,,759.8327107722862,0.8520182322572863,663.3617435830063,854.6656622400766,-6040.114404360046,-6321.311372996375,-6271.316341440129,-6257.289052786279,medium
TEa,154,9,9,2248.5,3.747072554546154,1.111109876038035,2.0,67.13681318211202,1064.7721687493956,2964.6167185468166,,0.08166181854168295,0.016709619416959,0.00780112776723305,,279.93388387673474,0.7207822130979233,229.84866879573258,321.37807854840304,-6299.2395399861125,-6478.373096519052,-6490.07040055756,-6478.661618237076,medium
SMT,149,5,5,2900.0,7.789257494203749,1.0586840826872594,2.0,35.835611376584765,437.737820212988,3552.4693548768446,5843.956826815084,0.1402476054676406,0.028824332058523153,0.0076371552959718,0.0159064600408053,99.71701464177195,0.750719967300977,80.18147647513428,121.73222144909036,-6087.021243976958,-6302.7657902735145,-6437.360203255444,-6146.298670157384,medium
DCO,148,15,15,4683.0,7.804025493313845,0.8909713045874238,2.0,188.9960235643763,1643.1063234087928,2660.2613664603477,,0.1086203765139902,0.040165526882426195,0.03553508614985275,,806.9806187435031,0.8595233330618983,716.6056740410138,881.4518643665751,-5802.358333566881,-6250.623931171376,-6347.878106138903,-6348.331461732301,medium
BST,146,12,12,6524.5,10.872766425797618,0.984735243349063,2.0,45.3248282079315,669.842717112334,3275.263220598023,,0.1183574972152251,0.014362952350504499,0.01207648130653355,,111.13301264321886,0.7587619086404218,96.37512876766635,131.23707609086858,-6372.85617930789,-6491.061548823573,-6481.676111901305,-6512.137654108788,medium
SI,146,23,23,3144.5,5.280369180505549,1.0966385115788149,2.0,42.635792405562896,883.8700873375716,3764.582239505023,5440.007370560516,0.13970988569334014,0.01617264514692155,0.01209560207414645,0.0243826853943092,145.7317905563453,0.7693683615517183,112.91039907260645,180.32111091862882,-6165.813824358754,-6383.979517418227,-6449.897742326047,-6425.877751512531,medium
ACAd,145,18,18,2383.0,4.31465581845692,0.9568721664149268,2.0,164.05717394273347,1818.077613938113,4208.443088818675,,0.052122036909372,0.01895201363503625,0.0133823372937326,,559.5987833997248,0.7576583879895752,487.9818072323274,623.2896297799364,-6199.40988322688,-6343.250849657441,-6427.404097710896,-6412.129254185247,medium
LA,144,8,8,2152.0,4.9761284057866195,1.1277560339688733,2.0,44.813388977063866,753.2986012138988,3395.0674107530695,,0.15771656117607014,0.015982558229605648,0.0076545729772329,,69.79282975719619,0.747697412816514,59.089759960481246,82.60315481407304,-6331.557160141194,-6419.270754072573,-6399.3821550482335,-6445.296028142929,medium
XII,143,2,2,868.0,1.4465290058594198,1.369874367585186,2.0,32.54913216833337,441.9414094807914,1980.098983307149,,0.1036054949633249,0.0408597650051398,0.0173234555684618,,313.13102266648383,0.8462234076613792,260.09820298998943,417.3738095458994,-5981.10773233043,-6204.674639540031,-6208.380145853616,-6198.283887616695,medium
AIv,140,8,8,2253.5,3.7553397175165646,1.1096021689346027,2.0,56.21836996250761,1380.894290963545,3334.2556839594336,,0.07733200454750015,0.0151770626427018,0.00874370809056055,,334.07182652259644,0.695090269509529,282.3432939970294,390.7531968736082,-6211.103622181785,-6402.651576629446,-6479.867647544959,-6542.619555339877,medium
DP,139,12,14,3360.0,5.60096437004485,1.0203706821934266,2.0,48.4002800311763,912.7952379188744,3123.702827007417,5626.1974066147095,0.0783683138792684,0.0167532977110188,0.0124409653726471,0.0052935181435782,270.4102612292079,0.6889350855705834,220.14459468690603,327.563833933348,-6270.248405584064,-6420.143168159786,-6450.4190470132135,-6369.80219967188,medium
ACAv,138,10,10,3160.0,5.960863594534262,1.0023134348010043,2.0,78.22584693002798,852.7594860621095,2662.7593124716404,,0.07666178708468245,0.020541039010975,0.0094296981777671,,237.03568696946454,0.7629736804894793,199.83678372595364,283.6638218783044,-6226.457109630879,-6426.492265926591,-6494.90754194979,-6487.212629637194,medium
VISrl,137,7,7,1394.0,4.6093142540175815,1.1577459431790922,2.0,38.26697022118882,1105.1999952783628,3457.0604383592236,,0.1324198592103166,0.025612830094308398,0.008951889671668701,,231.85612077789665,0.7419904609374959,190.46452849523,272.4531792526073,-5924.484917612059,-6044.838980698959,-6083.3746735780405,-6010.399474278345,medium
SF,136,11,11,4167.5,8.70798775874307,1.055024569766457,2.0,42.36055760230216,461.33549437691994,3239.891126392109,,0.10692799280260475,0.02223010743807695,0.0093441940057118,,120.67970394837883,0.7219398762675737,93.99577029995723,139.5852152263617,-6235.961811879195,-6404.257088597716,-6481.027760180579,-6456.180880100162,medium
TTd,134,8,9,4115.0,7.414998580599579,1.0620525293995708,2.0,38.607218249971666,1044.4109724660364,2835.8540206723683,,0.1133789461596551,0.0203043659782079,0.01119923153462355,,194.8360702195651,0.6989063280749487,151.90858650319024,243.02301898491018,-6135.861242391948,-6366.146321294071,-6469.563848884999,-6413.547960180602,medium
AUDv,129,8,8,2430.0,4.049622970642718,0.9885752507283684,2.0,111.08309080146653,1178.914972271586,2852.39829161035,,0.0621678328774943,0.0209215108765348,0.0132275902612656,,512.5162805277932,0.7461738751282984,448.1922873506564,584.1160348103202,-6210.96561266029,-6461.779620695298,-6482.312221533419,-6494.30987848278,medium
MARN,126,5,5,2342.0,3.9028446572338935,0.9765393067196881,2.0,274.98900605951366,2357.3973338920578,2780.6639586100127,,0.057643670290068796,0.0389869534570707,0.0215699049605128,,1197.595480070357,0.8864470978277721,1107.4162964958082,1306.7390363313662,-5912.227637318152,-6240.197696784411,-6299.858164053356,-6315.198286428566,medium
VISli,125,8,9,2113.0,3.5213223921326504,1.0923261803192084,2.0,68.90756720556635,828.795216672237,3309.203621722276,,0.0641931404376289,0.0224674875414452,0.0141423364407527,,316.2104179787157,0.7495509566264714,253.79230798363025,371.1987863956502,-6366.202866808323,-6488.2106350071,-6505.617488213178,-6509.211018150768,medium
SOC,125,8,8,1258.0,2.096482426458288,1.0368875826150954,2.0,133.18977346650752,1472.2324303966786,3057.3907572356966,,0.0579297537805455,0.0800400243304929,0.05922711707205875,,859.0576794988536,0.8433055702369989,758.1227643320656,965.7129585954208,-5930.207921258849,-6111.725671299262,-6259.998092523675,-5887.924600648442,medium
ECT,123,5,5,1178.0,1.963070169018998,1.2428704602178324,2.0,30.61428086742253,632.2527794718636,4037.7561123251867,,0.1446461929771035,0.0135741131557982,0.0062368669684306,,102.84870170815704,0.725226660847952,77.88136321992533,120.00822838035464,-6342.184008790472,-6456.878754017521,-6447.990455673285,-6387.2050310369705,medium
LSc,121,8,8,1929.0,3.886248502885695,1.219493046040672,2.0,22.5230100064011,488.2352911204317,2284.84879146698,,0.1575538197384632,0.0261656593837547,0.00962057597115765,,90.68387004270436,0.7321179967414146,73.27117029222904,109.51635588042438,-6127.376392927492,-6343.950528713583,-6425.217962388506,-6503.464759918182,medium
NOD,121,10,10,3323.0,5.537644270214978,0.8074262799631656,1.0,730.1881014484652,2855.058956443222,5045.069911703203,,0.0775229911449442,0.037124907870954155,0.0444038541646489,,2344.2626920386115,0.8629227794292549,2166.1861680327283,2456.455304274176,-5907.183648361598,-6133.932107432199,-6383.841569245109,-6290.767960206616,medium
SSp-un,121,7,7,1604.0,4.735674283323976,1.1316037923606508,2.0,38.69143679138892,427.23862188478995,3244.6118261444303,,0.1265696107413809,0.03361184133234135,0.0108951316095543,,148.72362384858815,0.754056135285324,122.76671013897388,187.4923283488449,-5944.255902822977,-6044.224692236549,-6050.479950962877,-5958.899004892671,medium
AP,118,1,1,1156.5,1.9272618988653378,1.1957571287033004,2.0,304.28065906242205,2501.2932552978627,2416.605207441972,,0.0653184950143772,0.0400167619800519,0.036698290312672,,1050.017421866059,0.9121946305621136,977.9559280995522,1150.5554513973793,-5798.671129880448,-6126.474280658911,-6103.590087498095,-6085.838887039157,medium
AM,116,10,10,5718.5,10.090977780345277,0.9587663290363864,2.0,72.25141742619755,2106.8799411256987,2742.586793510243,,0.0734195075633122,0.0106098501588121,0.0093595625783462,,248.43724679951129,0.7093037729697169,183.0686188516873,294.05826286735186,-6371.836363116038,-6487.168825206021,-6556.417660340896,-6576.696685485917,medium
GU,115,5,5,2295.0,3.824487298725467,1.231769673696105,2.0,32.30472356511219,1394.4343258087365,3219.065135903026,,0.1001615479786472,0.014212335406013,0.0069352056375931,,161.22797503846715,0.6721414314471535,131.0117988557292,197.532895820639,-6281.903165881518,-6477.181567218239,-6456.874615358167,-6411.12187184937,medium
SUT,114,12,12,1383.5,2.3055503132100386,0.9780474031018992,2.0,247.3894479071716,2117.3431414656134,2617.3861358441504,,0.09849047542971609,0.06896460739702276,0.06386165197330265,,967.38294490185,0.9096186909627597,883.9602540739617,1066.5891129501315,-5717.638593142107,-6018.448434549522,-6006.752466494286,-6000.272492477064,medium
AIp,113,8,8,1988.0,3.313026539171907,1.0533647495569085,2.0,51.47430144956743,1090.3808472189648,2572.337568115053,,0.0828647520904306,0.0173533992824833,0.01088069423235225,,228.33886908602787,0.6999054068481363,194.6545055033136,273.5007177609373,-6243.789521197303,-6436.201247038208,-6425.70738821041,-6589.869022586594,medium
SPVC,112,5,5,825.5,1.3757009670437088,1.2520681581006388,2.0,175.43797485106757,1975.4597261779104,3742.669105851166,,0.07553867434351845,0.02521709938315065,0.01215148291698425,,530.4322756504523,0.7911772831976336,458.47884403975365,592.8938933627373,-5969.068926767146,-6147.786706382857,-6075.400728394029,-6024.236929907304,medium
PAA,112,4,4,1127.5,2.8112356719695746,1.2767924502574277,2.0,21.97636943578089,380.38318437794624,2676.0692289189765,,0.21067207576777644,0.0162418426229867,0.00553319940191065,,52.724420288302234,0.6520555104292598,42.175527422114946,63.077858405005045,-6073.916864523901,-6124.788925691646,-6073.380281941473,-6562.451859791492,medium
PGRN,110,11,11,1095.0,1.8247920103258055,1.0425736840530493,2.0,159.91714992985578,2312.3912460333013,2709.573551914356,,0.07133359845598941,0.0300215221015352,0.0633432318391459,,1084.7510265100377,0.7950819374295461,945.2116051360106,1236.84136864219,-5970.560729491127,-6106.1064145530345,-6062.3349729599795,-5944.973595391273,medium
VPLpc,107,10,10,2761.0,4.8179492715396295,1.0249566151244331,2.0,189.60446962185927,2492.0184851616677,3685.7574185102603,,0.069780525180171,0.0274551450984497,0.02820160763508255,,1039.1798683961836,0.8391400183463912,893.4847790079709,1124.7414260899416,-6078.674293778053,-6326.668908902879,-6345.020577086287,-6314.581933743089,medium
SUV,107,11,11,2379.0,5.547614302936973,0.7329368223466295,2.0,87.93436462072358,2127.785721108641,3823.3606981635503,,0.1616677160530771,0.0452073645846341,0.0220356064589106,,540.6561824327332,0.8830698656065784,445.6742981170402,642.4656648300004,-5574.171349775345,-5979.783184369944,-5994.918458207399,-5842.844443563885,medium
SGN,106,9,9,4579.5,8.404201800913647,0.96458785776866,2.0,57.539007158667076,910.3509571791585,3747.3496724757015,,0.08953347348919705,0.01674573608324875,0.00425689076453985,,230.4885357576219,0.7803100317919693,187.2115502661298,273.33432190889516,-6334.906906903462,-6486.679789132169,-6508.9017183970545,-6503.88812123141,medium
MS,105,3,3,8297.0,13.826594260160975,1.004947494217801,2.0,34.47472667932769,1408.223470397004,2775.1739324913888,,0.1528771671316697,0.0126140603083932,0.0182995890925287,,145.49516689058478,0.796758350745705,127.5793750006147,171.02911726557838,-6192.7524784933685,-6430.653695077157,-6470.1334183484305,-6376.264578540709,medium
MOB,105,3,3,12090.0,20.14804470508244,0.8605509946883194,1.0,33.57396062261618,431.0535817693972,2839.938434998031,,0.1788480321974048,0.0264491869249322,0.01635611689343235,,43.43666267109759,0.7468903524501294,37.47335591919307,47.33988624810725,-6282.458686618811,-6434.392013979912,-6546.682674130599,-6620.357320875426,medium
CU,103,3,4,827.0,1.378159931478852,1.106539364103817,2.0,167.41518475460157,1431.0263689750643,2957.797388885845,,0.0467427921841111,0.031214120701275,0.0162136818461684,,689.8030828635888,0.7975561516122482,604.8077348335447,756.6057928453552,-6152.519436045205,-6257.174780028316,-6272.337515911269,-6279.434151787852,medium
LGv,102,9,9,3935.5,6.5585178906297745,1.0165624247204874,2.0,88.78243148937707,1073.8617976797555,4085.0598626617902,,0.07595080312357425,0.019932355533343653,0.0085993563487199,,412.15436890582885,0.8032849550085679,342.6346742083648,475.9259239124264,-6316.699135705192,-6468.3784478227635,-6517.814150457381,-6428.727989550513,medium
FRP,100,11,11,1429.0,2.3813459741990064,1.1877192770399232,2.0,39.01503560866502,1667.6519386685006,1852.533193645328,,0.09870772500538841,0.0148867476412282,0.0182580332263365,,270.24534250032457,0.7150313964165822,222.0664193109198,319.0661233320833,-6160.281719840948,-6368.55985322865,-6368.978185935477,-6457.233051531044,medium
PA,97,14,14,698.0,1.3548254406859062,1.3152253577175474,2.0,32.77010963460422,707.1380722242823,2656.664785754282,,0.1426033712165709,0.0180185847066333,0.006738188439997701,,101.21450685624696,0.7458520486894713,76.06045339125065,138.77976425179284,-6170.309609770846,-6333.395378818699,-6415.176792043836,-6385.989530426037,medium
NOT,94,17,18,4429.5,7.656728836067867,1.0186525627000735,2.0,86.93176314822915,1283.192912071505,3600.094665061118,,0.0550404355626813,0.0188958502256247,0.011605570244301,,480.72399444300606,0.7522157795547275,399.8047450987914,541.6641580390204,-6338.834640607916,-6517.069497142371,-6518.756081745799,-6464.627232595716,medium
TR,90,8,8,1011.0,1.82231776572495,1.330133902696836,2.0,24.013103771024717,585.4566618664678,3803.529183893541,,0.19653463434925184,0.0165574325591923,0.00494753302730605,,76.66217341830136,0.7649801698505885,60.67225620116955,91.98813166988678,-6204.306639573919,-6376.108823254091,-6353.099407902129,-6360.2624932865365,medium
VM,88,15,15,2554.0,6.176847866770819,1.07945171202022,2.0,37.362474737857525,440.5279987698393,3136.773084457639,,0.10808032460696484,0.020629166218909298,0.0055868327429785,,130.08014103004757,0.7428517419270902,102.69766430436691,156.70482616744096,-6150.301683449265,-6159.33728634802,-6465.367638552655,-6426.967862427954,medium
TRS,88,8,8,4936.0,8.627926750366345,1.0719308617276218,2.0,39.354277301749356,816.7272252061196,3671.348642660289,,0.10593768836626595,0.015094511596424,0.0053220313954,,145.26312803732029,0.728834643361058,116.83083726791963,172.17804959765186,-6363.851908369565,-6518.941082767316,-6536.436920196463,-6522.003603413653,medium
SNr,86,12,12,5878.5,10.064784892735439,0.9090653536160895,2.0,168.16682669826127,2025.5759509088184,2981.239023079719,,0.0767444816147304,0.02691074508564085,0.1361257561919949,,805.1214383076351,0.8661994170483482,759.1877242238174,872.739667549252,-6062.092583835103,-6408.394464125047,-6374.171458404146,-6545.065979955445,medium
ECU,85,5,5,1482.0,2.4697585353244618,1.0415189736610522,2.0,164.109430782471,2549.91559680209,3745.898314539946,,0.0532192325657009,0.031474271965703,0.0263724469307315,,1287.2905618357852,0.816926200156884,1143.7352972411393,1523.7020221827993,-5935.814561484817,-6117.772353500726,-6112.629812098236,-6254.532272403794,medium
VISpl,84,8,9,4162.5,7.22841340913468,1.0730773206511262,2.0,75.4941986137427,514.7506756282539,2215.090614622626,,0.0782134674330795,0.03147874550043005,0.017433347305618,,244.75557954982474,0.7971780237808428,206.3227058231679,276.4214392368244,-6209.3613056196955,-6448.037552153151,-6441.95722419422,-6500.162397947206,medium
DEC,84,7,7,8621.0,14.36673592795754,0.8044643494560799,2.0,288.43447463559556,2564.7856382295986,2501.178418475809,,0.0503127694700541,0.02561442267060305,0.022058534890657,,1219.1004307487638,0.8179331879700955,1023.5474284037739,1401.424105057382,-6199.143044573051,-6432.830640227185,-6572.463978216002,-6658.204134069101,medium
FC,83,4,4,2880.0,4.799552350620428,1.373919865088363,2.0,16.08621734514277,676.8304930191541,1475.5265150005189,,0.283101735688944,0.02193896471103035,0.0120712770312759,,46.68613435340336,0.8195244833668061,38.31659786317684,55.79664091890187,-6266.220242676317,-6425.986996894561,-6412.111864165675,-6461.661777283511,medium
